Date,Ticker,Open,High,Low,Close,Volume,Adj Close
1/12/2015,PTR4,"7,67","7,76","7,45","7,49",35865600,"7,49"
2/12/2015,PTR4,"7,54","7,59","7,35","7,52",47713500,"7,52"
3/12/2015,PTR4,"7,99","8,17","7,79","7,98",76680900,"7,98"
4/12/2015,PTR4,"7,97","7,97","7,42","7,52",63662600,"7,52"
7/12/2015,PTR4,"7,6","7,61","7,15","7,19",47395000,"7,19"
8/12/2015,PTR4,"7,2","7,2","6,95","7,13",46590500,"7,13"
9/12/2015,PTR4,"7,34","7,82","7,27","7,65",82102800,"7,65"
10/12/2015,PTR4,"7,51","7,57","7,31","7,45",43458400,"7,45"
11/12/2015,PTR4,"7,26","7,53","7,21","7,25",50750600,"7,25"
14/12/2015,PTR4,"7,15","7,23","7,07","7,21",33538000,"7,21"
15/12/2015,PTR4,"7,34","7,47","7,3","7,42",34188900,"7,42"
16/12/2015,PTR4,"7,28","7,36","7,09","7,29",39840300,"7,29"
17/12/2015,PTR4,"7,35","7,52","7,19","7,2",43789300,"7,2"
18/12/2015,PTR4,"7,02","7,1","6,92","7,02",60061600,"7,02"
21/12/2015,PTR4,"7,06","7,09","6,62","6,64",54032100,"6,64"
22/12/2015,PTR4,"6,76","6,82","6,62","6,79",40463400,"6,79"
23/12/2015,PTR4,"6,91","7,04","6,87","6,93",38789700,"6,93"
28/12/2015,PTR4,"6,9","6,9","6,65","6,7",28617600,"6,7"
29/12/2015,PTR4,"6,81","6,87","6,68","6,69",22441300,"6,69"
30/12/2015,PTR4,"6,66","6,76","6,52","6,7",30041600,"6,7"
4/1/2016,PTR4,"6,57","7,03","6,55","6,87",45962100,"6,87"
5/1/2016,PTR4,"6,92",7,"6,62","6,68",29446700,"6,68"
6/1/2016,PTR4,"6,53","6,54","6,4","6,4",67507200,"6,4"
7/1/2016,PTR4,"6,19","6,43","6,08","6,26",57387900,"6,26"
8/1/2016,PTR4,"6,38","6,45","6,13","6,27",52100300,"6,27"
11/1/2016,PTR4,"6,27","6,3","6,05","6,09",51334000,"6,09"
12/1/2016,PTR4,"6,12","6,12","5,51","5,53",81627800,"5,53"
13/1/2016,PTR4,"5,7","5,74","5,25","5,27",70874300,"5,27"
14/1/2016,PTR4,"5,31","5,69","5,13","5,69",76854200,"5,69"
15/1/2016,PTR4,"5,35","5,44","5,16","5,17",75571500,"5,17"
18/1/2016,PTR4,"5,19","5,21","4,8","4,8",46407200,"4,8"
19/1/2016,PTR4,"5,03","5,05","4,64","4,66",66529300,"4,66"
20/1/2016,PTR4,"4,5","4,5","4,26","4,43",92914100,"4,43"
21/1/2016,PTR4,"4,37","4,67","4,36","4,5",87455300,"4,5"
22/1/2016,PTR4,"4,73","4,77","4,4","4,41",100576600,"4,41"
26/1/2016,PTR4,"4,23","4,31","4,12","4,2",71933300,"4,2"
27/1/2016,PTR4,"4,22","4,64","4,16","4,57",79437900,"4,57"
28/1/2016,PTR4,"4,67","5,13","4,35","4,6",131960900,"4,6"
29/1/2016,PTR4,"4,7","4,86","4,52","4,84",93013900,"4,84"
1/2/2016,PTR4,"4,74","4,86","4,66","4,72",51910300,"4,72"
2/2/2016,PTR4,"4,56","4,65","4,3","4,3",53610300,"4,3"
3/2/2016,PTR4,"4,42","4,52","4,22","4,49",73786400,"4,49"
4/2/2016,PTR4,"4,56","4,94","4,36","4,73",91974200,"4,73"
5/2/2016,PTR4,"4,73","4,78","4,53","4,54",52704500,"4,54"
10/2/2016,PTR4,"4,3","4,41","4,28","4,31",45747400,"4,31"
11/2/2016,PTR4,"4,2","4,27","4,12","4,23",59451500,"4,23"
12/2/2016,PTR4,"4,37","4,51","4,3","4,45",64027200,"4,45"
15/2/2016,PTR4,"4,56","4,6","4,52","4,57",28490400,"4,57"
16/2/2016,PTR4,"4,5","4,64","4,42","4,44",80343900,"4,44"
17/2/2016,PTR4,"4,54","4,82","4,51","4,68",84473100,"4,68"
18/2/2016,PTR4,"4,69","4,87","4,55","4,59",65026900,"4,59"
19/2/2016,PTR4,"4,5","4,57","4,4","4,46",56031000,"4,46"
22/2/2016,PTR4,"4,67","5,04","4,63","5,04",80150300,"5,04"
23/2/2016,PTR4,"4,95","5,28","4,82","4,92",85037400,"4,92"
24/2/2016,PTR4,"4,77","4,93","4,65","4,87",75039700,"4,87"
25/2/2016,PTR4,"4,81","5,08","4,79","4,89",70393700,"4,89"
26/2/2016,PTR4,"5,02","5,1","4,83","4,87",61396800,"4,87"
29/2/2016,PTR4,"5,08","5,23","4,98","5,14",84165000,"5,14"
1/3/2016,PTR4,"5,31","5,37","5,1","5,31",80939200,"5,31"
2/3/2016,PTR4,"5,21","5,65","5,15","5,65",88545800,"5,65"
3/3/2016,PTR4,"5,85","6,8","5,8","6,57",186772500,"6,57"
4/3/2016,PTR4,"6,57","7,9","6,57","7,22",175922100,"7,22"
7/3/2016,PTR4,"7,25","7,53","6,95","7,37",85041400,"7,37"
8/3/2016,PTR4,"7,37","7,84","7,08","7,47",137169400,"7,47"
9/3/2016,PTR4,"7,7","7,78","7,36","7,6",84821900,"7,6"
10/3/2016,PTR4,"7,8","7,96","7,31","7,95",117672300,"7,95"
11/3/2016,PTR4,"7,94","8,22","7,67","8,09",92331300,"8,09"
14/3/2016,PTR4,"8,13","8,2","7,4","7,4",86084700,"7,4"
15/3/2016,PTR4,"6,83","6,96","6,56","6,61",104913200,"6,61"
16/3/2016,PTR4,"6,51","7,23","6,41","7,23",85533000,"7,23"
17/3/2016,PTR4,"8,15","8,19","7,71","8,1",118294200,"8,1"
18/3/2016,PTR4,"8,09","8,17","7,72","8,12",77182400,"8,12"
21/3/2016,PTR4,"8,08","8,27","7,93","8,06",65837300,"8,06"
22/3/2016,PTR4,"7,85","8,18","7,73","8,11",84549700,"8,11"
23/3/2016,PTR4,"7,88","7,96","7,66","7,78",61437900,"7,78"
24/3/2016,PTR4,"7,53",8,"7,32","7,81",52343300,"7,81"
28/3/2016,PTR4,"8,15","8,48","7,91","8,44",69818700,"8,44"
29/3/2016,PTR4,"8,34","8,85","8,19","8,49",89050200,"8,49"
30/3/2016,PTR4,"8,7",9,"8,28","8,44",90059600,"8,44"
31/3/2016,PTR4,"8,36","8,63","8,19","8,35",70267600,"8,35"
1/4/2016,PTR4,"8,05","8,41","7,94","8,36",74255000,"8,36"
4/4/2016,PTR4,8,"8,18","7,53","7,58",70727200,"7,58"
5/4/2016,PTR4,"7,55","8,05","7,41","7,83",75660400,"7,83"
6/4/2016,PTR4,"7,77","7,96","7,58","7,58",70548400,"7,58"
7/4/2016,PTR4,"7,79","7,85","7,6","7,7",46486700,"7,7"
8/4/2016,PTR4,"8,13","8,34","8,04","8,26",84448200,"8,26"
11/4/2016,PTR4,"8,43","8,58","8,34","8,39",61351400,"8,39"
12/4/2016,PTR4,"8,55","9,15","8,49","9,03",86545800,"9,03"
13/4/2016,PTR4,"9,41","9,74","9,29","9,51",106644800,"9,51"
14/4/2016,PTR4,"9,73","9,77","9,12","9,16",77355500,"9,16"
15/4/2016,PTR4,"9,25","9,83","9,07","9,69",95590000,"9,69"
18/4/2016,PTR4,"9,65","9,72","8,89","9,24",88873100,"9,24"
19/4/2016,PTR4,"9,48","9,67","9,34","9,62",57321100,"9,62"
20/4/2016,PTR4,"9,4","9,64","9,34","9,48",53295800,"9,48"
22/4/2016,PTR4,"9,32","9,93","9,29","9,75",63322900,"9,75"
25/4/2016,PTR4,"9,71","9,9","9,33","9,33",56585400,"9,33"
26/4/2016,PTR4,"9,48","9,74","9,34","9,67",40460400,"9,67"
27/4/2016,PTR4,"9,85","10,3","9,77","10,25",86397900,"10,25"
28/4/2016,PTR4,"10,23","10,54","10,08","10,23",57741500,"10,23"
29/4/2016,PTR4,"10,23","10,54","10,01","10,23",53931300,"10,23"
2/5/2016,PTR4,"10,25","10,36","9,93","10,17",48618800,"10,17"
3/5/2016,PTR4,"10,01","10,09","9,71","9,78",47074700,"9,78"
4/5/2016,PTR4,"9,85","10,15","9,85","9,92",43389500,"9,92"
5/5/2016,PTR4,"10,28","10,3","9,6","9,81",65074500,"9,81"
6/5/2016,PTR4,"9,63","10,13","9,58","10,08",45330900,"10,08"
9/5/2016,PTR4,"10,01","10,05","8,84","9,48",94688100,"9,48"
10/5/2016,PTR4,"9,82","10,21","9,72","10,21",53055800,"10,21"
11/5/2016,PTR4,"10,39","10,5","9,99","10,25",74542300,"10,25"
12/5/2016,PTR4,"10,4","10,47","9,79","9,79",67229100,"9,79"
13/5/2016,PTR4,"9,93","10,06","9,39","9,46",70472200,"9,46"
16/5/2016,PTR4,"9,55","9,85","9,52","9,75",61487700,"9,75"
17/5/2016,PTR4,"9,83","9,88","9,46","9,5",46379500,"9,5"
18/5/2016,PTR4,"9,31","9,65","9,27","9,32",51929100,"9,32"
19/5/2016,PTR4,"9,25","9,25","8,65","8,96",75430200,"8,96"
20/5/2016,PTR4,"9,2","9,46","8,9","8,9",65173100,"8,9"
23/5/2016,PTR4,"8,55","8,67","8,42","8,5",51330000,"8,5"
24/5/2016,PTR4,"8,69","8,85","8,45","8,53",44823400,"8,53"
25/5/2016,PTR4,"8,68","8,94","8,59","8,67",45512600,"8,67"
27/5/2016,PTR4,"8,5","8,57","8,23","8,23",47488600,"8,23"
30/5/2016,PTR4,"8,18","8,62","8,06","8,38",32281900,"8,38"
31/5/2016,PTR4,"8,36","8,57","8,04","8,04",58662600,"8,04"
1/6/2016,PTR4,"8,09","8,25","7,86","8,18",45884400,"8,18"
2/6/2016,PTR4,"8,19","8,41","8,03","8,32",52835100,"8,32"
3/6/2016,PTR4,"8,51","8,67","8,45","8,57",45595300,"8,57"
6/6/2016,PTR4,"8,7","8,78","8,45","8,46",37117600,"8,46"
7/6/2016,PTR4,"8,42","8,72","8,39","8,62",34401600,"8,62"
8/6/2016,PTR4,"8,8","9,41","8,8","9,39",77194700,"9,39"
9/6/2016,PTR4,"9,28","9,38","9,05","9,18",46539900,"9,18"
10/6/2016,PTR4,"8,97","8,99","8,78","8,78",38859900,"8,78"
13/6/2016,PTR4,"8,58","8,84","8,52","8,62",37094100,"8,62"
14/6/2016,PTR4,"8,6","8,77","8,25","8,3",66180300,"8,3"
15/6/2016,PTR4,"8,3","8,69","8,27","8,51",84556900,"8,51"
16/6/2016,PTR4,"8,41","8,54","8,28","8,5",46834500,"8,5"
17/6/2016,PTR4,"8,75","8,95","8,73","8,95",63144100,"8,95"
20/6/2016,PTR4,"9,22","9,37","9,12","9,18",63791500,"9,18"
21/6/2016,PTR4,"9,09","9,54","8,94","9,53",53703900,"9,53"
22/6/2016,PTR4,"9,61","9,75","9,34","9,34",61983000,"9,34"
23/6/2016,PTR4,"9,59","9,7","9,51","9,67",48031300,"9,67"
24/6/2016,PTR4,9,"9,33","8,92","9,25",75974900,"9,25"
27/6/2016,PTR4,"9,22","9,34","8,78","8,78",58818400,"8,78"
28/6/2016,PTR4,"9,1","9,28","9,07","9,2",45291700,"9,2"
29/6/2016,PTR4,"9,43","9,57","9,32","9,5",56093600,"9,5"
30/6/2016,PTR4,"9,42","9,49","9,24","9,42",43741300,"9,42"
1/7/2016,PTR4,"9,48","9,85","9,37","9,82",49290800,"9,82"
4/7/2016,PTR4,"9,95","10,05","9,79","9,87",24505100,"9,87"
5/7/2016,PTR4,"9,65","9,67","9,23","9,29",69691200,"9,29"
6/7/2016,PTR4,"9,09","9,52","8,95","9,5",68781500,"9,5"
7/7/2016,PTR4,"9,66","9,98","9,52","9,56",81610300,"9,56"
8/7/2016,PTR4,"9,85","9,94","9,67","9,84",42647600,"9,84"
11/7/2016,PTR4,10,"10,37","9,98","10,36",66717300,"10,36"
12/7/2016,PTR4,"10,61","10,8","10,58","10,65",58174200,"10,65"
13/7/2016,PTR4,"10,47","10,63","10,21","10,63",64252100,"10,63"
14/7/2016,PTR4,"10,92","10,98","10,66","10,93",53059500,"10,93"
15/7/2016,PTR4,"10,91","11,06","10,82","11,02",51223500,"11,02"
18/7/2016,PTR4,"10,97","11,74","10,87","11,55",77358900,"11,55"
19/7/2016,PTR4,"11,51","11,97","11,5","11,78",53692000,"11,78"
20/7/2016,PTR4,"11,82","11,9","11,54","11,82",49261200,"11,82"
21/7/2016,PTR4,"11,77","11,99","11,73","11,85",37748600,"11,85"
22/7/2016,PTR4,"11,84","11,97","11,72","11,94",33938400,"11,94"
25/7/2016,PTR4,"11,98","12,25","11,91","12,03",47192000,"12,03"
26/7/2016,PTR4,"11,95","12,07","11,85","11,88",38304800,"11,88"
27/7/2016,PTR4,"11,99","12,04","11,51","11,51",51952100,"11,51"
28/7/2016,PTR4,"11,4","11,55","11,15","11,44",40663100,"11,44"
29/7/2016,PTR4,"11,76","11,98","11,61","11,87",60740000,"11,87"
1/8/2016,PTR4,"11,93","11,97","11,22","11,25",52012300,"11,25"
2/8/2016,PTR4,"11,33","11,62","11,1","11,36",49134600,"11,36"
3/8/2016,PTR4,"11,58","11,9","11,33","11,9",55695500,"11,9"
4/8/2016,PTR4,"11,93","12,12","11,87","12,01",63207500,"12,01"
5/8/2016,PTR4,"12,12","12,17","11,65","11,65",54225900,"11,65"
8/8/2016,PTR4,"11,79","11,97","11,7","11,91",41552000,"11,91"
9/8/2016,PTR4,"11,92","12,07","11,75","11,88",33596200,"11,88"
10/8/2016,PTR4,"11,95","11,97","11,56","11,56",41638400,"11,56"
11/8/2016,PTR4,"11,63","12,1","11,6","12,1",55881500,"12,1"
12/8/2016,PTR4,"12,05","12,44","11,98",12,71281300,12
15/8/2016,PTR4,"12,19","12,37","12,07","12,31",53568000,"12,31"
16/8/2016,PTR4,"12,31","12,56","12,14","12,49",48218700,"12,49"
17/8/2016,PTR4,"12,47","12,76","12,32","12,76",46809100,"12,76"
18/8/2016,PTR4,"12,8","13,03","12,78","12,88",44941100,"12,88"
19/8/2016,PTR4,"12,82","12,92","12,7","12,79",33360000,"12,79"
22/8/2016,PTR4,"12,63","12,63","12,3","12,35",43258900,"12,35"
23/8/2016,PTR4,"12,48","12,86","12,42","12,67",61048000,"12,67"
24/8/2016,PTR4,"12,5","12,71","12,37","12,4",44694700,"12,4"
25/8/2016,PTR4,"12,42","12,64","12,35","12,53",40290500,"12,53"
26/8/2016,PTR4,"12,69","12,9","12,45","12,55",50650500,"12,55"
29/8/2016,PTR4,"12,5","12,96","12,45","12,87",36990100,"12,87"
30/8/2016,PTR4,"13,04","13,23","12,97","13,09",51893700,"13,09"
31/8/2016,PTR4,"13,13","13,22","12,71","12,85",61016100,"12,85"
1/9/2016,PTR4,"12,97","13,09","12,76",13,45370000,13
2/9/2016,PTR4,"13,22","13,58","13,15","13,57",57017000,"13,57"
5/9/2016,PTR4,"13,79","13,93","13,73","13,83",26292200,"13,83"
6/9/2016,PTR4,"13,69","13,98","13,53","13,98",42086900,"13,98"
8/9/2016,PTR4,"14,07","14,29","13,96","14,22",42797300,"14,22"
9/9/2016,PTR4,"13,96","14,02","13,51","13,51",43155300,"13,51"
12/9/2016,PTR4,"13,32","13,95","13,27","13,95",44141000,"13,95"
13/9/2016,PTR4,"13,7","13,85","12,94","13,01",64134000,"13,01"
14/9/2016,PTR4,"13,15","13,36","12,97","13,11",43932500,"13,11"
15/9/2016,PTR4,"13,21","13,56","13,16","13,51",42169100,"13,51"
16/9/2016,PTR4,"13,34","13,42","13,16","13,16",44651900,"13,16"
19/9/2016,PTR4,"13,42","13,54","13,02","13,05",51105500,"13,05"
20/9/2016,PTR4,"13,45","13,63","13,33","13,5",52063100,"13,5"
21/9/2016,PTR4,"13,6","13,69","13,4","13,66",61094100,"13,66"
22/9/2016,PTR4,"13,89","14,09","13,84",14,47574500,14
23/9/2016,PTR4,"13,98","13,98","13,54","13,69",53264300,"13,69"
26/9/2016,PTR4,"13,59","13,69","13,39","13,4",35545800,"13,4"
27/9/2016,PTR4,"13,4","13,4","12,87","13,12",58098200,"13,12"
